Clientnumber,Customer,Subscription type,Bookingsdata,Revenuetype,Description,Revenue,Percentage of total monthly revenue,Company revenue total (month),Year,Month,Lag_1,Lag_6,MA_6
1.0,14,0,2022-07-31,1,61,53837.55201000001,0.1034,520672.65,2022,7,53352.155186,36188.71163600001,42266.601377
1.0,14,0,2022-08-31,1,61,54647.957782,0.1034,528510.23,2022,8,53837.55201000001,36203.539196000005,45340.67114133333
1.0,14,0,2022-09-30,1,207,54070.883416000004,0.1034,522929.24,2022,9,54647.957782,37275.174728,48139.95592266667
1.0,14,0,2022-10-31,1,207,58226.913029999996,0.1034,563122.95,2022,10,54070.883416000004,36227.971582,51806.446164
1.0,14,0,2022-11-30,1,207,57455.27398600001,0.1034,555660.29,2022,11,58226.913029999996,36703.215560000004,55265.122568333325
1.0,14,0,2022-12-31,1,5,55257.419096,0.1034,534404.44,2022,12,57455.27398600001,53352.155186,55582.666553333336
1.0,14,0,2023-01-31,1,14,59364.226174,0.1034,574122.11,2023,1,55257.419096,53837.55201000001,56503.778914
1.0,14,0,2023-02-28,1,78,60702.7278,0.1034,587067.0,2023,2,59364.226174,54647.957782,57512.90725033334
1.0,14,0,2023-03-31,1,75,62790.791536000004,0.1034,607261.04,2023,3,60702.7278,54070.883416000004,58966.22527033333
1.0,14,0,2023-04-30,1,252,64852.57616200001,0.1034,627200.93,2023,4,62790.791536000004,58226.913029999996,60070.502459
1.0,14,0,2023-05-31,1,129,66490.864374,0.1034,643045.11,2023,5,64852.57616200001,57455.27398600001,61576.43419033333
1.0,14,0,2023-06-30,1,75,66630.485394,0.1034,644395.41,2023,6,66490.864374,55257.419096,63471.94524
1.0,14,0,2023-07-31,1,252,66568.97893800001,0.1034,643800.5700000001,2023,7,66630.485394,59364.226174,64672.73736733334
1.0,14,0,2023-08-31,1,138,67955.119012,0.1034,657206.1799999999,2023,8,66568.97893800001,60702.7278,65881.469236
1.0,14,0,2023-09-30,1,76,70175.276248,0.1034,678677.72,2023,9,67955.119012,62790.791536000004,67112.216688
1.0,14,0,2023-10-31,1,252,70511.63024400001,0.1034,681930.66,2023,10,70175.276248,64852.57616200001,68055.39236833334
1.0,14,0,2023-11-30,1,138,69666.502752,0.1034,673757.28,2023,11,70511.63024400001,66490.864374,68584.66543133334
1.0,14,0,2023-12-31,1,12,70198.58571,0.1034,678903.1499999999,2023,12,69666.502752,66630.485394,69179.34881733333
1.0,14,0,2024-01-31,1,423,74756.723448,0.1034,722985.72,2024,1,70198.58571,66568.97893800001,70543.97290233333
1.0,14,0,2024-02-29,1,155,75267.865838,0.1034,727929.07,2024,2,74756.723448,67955.119012,71762.76404
1.0,14,0,2024-03-31,1,75,78599.85742400002,0.1034,760153.3600000001,2024,3,75267.865838,70175.276248,73166.86090266668
1.0,14,0,2024-04-30,1,252,78012.36240600001,0.1034,754471.5900000001,2024,4,78599.85742400002,70511.63024400001,74416.98292966669
1.0,14,0,2024-05-31,1,15,80621.839254,0.1034,779708.31,2024,5,78012.36240600001,69666.502752,76242.87234666669
1.0,14,0,2024-06-30,1,423,79567.221294,0.1034,769508.91,2024,6,80621.839254,70198.58571,77804.31161066667
1.0,14,0,2024-07-31,1,154,83102.70511400001,0.1034,803701.2100000001,2024,7,79567.221294,74756.723448,79195.30855500001
1.0,14,0,2024-08-31,1,98,83607.716918,0.1034,808585.27,2024,8,83102.70511400001,75267.865838,80585.28373500002
1.0,14,0,2024-09-30,1,247,85171.949016,0.1034,823713.24,2024,9,83607.716918,78599.85742400002,81680.63233366667
2.0,9,0,2020-01-31,1,424,17330.638248,0.0987,175589.04,2020,1,85171.949016,78012.36240600001,71567.01164066666
2.0,9,0,2020-02-29,1,154,18546.611391,0.0987,187908.93,2020,2,17330.638248,80621.839254,61221.140330166665
2.0,9,0,2020-03-31,1,104,19042.468346999998,0.0987,192932.81,2020,3,18546.611391,79567.221294,51133.68150566667
2.0,9,0,2020-04-30,1,424,19044.219285,0.0987,192950.55,2020,4,19042.468346999998,83102.70511400001,40457.26720083333
2.0,9,0,2020-05-31,1,145,19612.655285999997,0.0987,198709.78,2020,5,19044.219285,83607.716918,29791.423595499993
2.0,9,0,2020-06-30,1,335,19656.347802,0.0987,199152.46,2020,6,19612.655285999997,85171.949016,18872.1567265
2.0,9,0,2020-07-31,1,324,20264.261829,0.0987,205311.67,2020,7,19656.347802,17330.638248,19361.093989999998
2.0,9,0,2020-08-31,1,323,21207.506145,0.0987,214868.35,2020,8,20264.261829,18546.611391,19804.576448999997
2.0,9,0,2020-09-30,1,325,22147.956264,0.0987,224396.72,2020,9,21207.506145,19042.468346999998,20322.157768499997
2.0,9,0,2020-10-31,1,311,22682.48388,0.0987,229812.4,2020,10,22147.956264,19044.219285,20928.535201
2.0,9,0,2020-11-30,1,326,22886.886645,0.0987,231883.35,2020,11,22682.48388,19612.655285999997,21474.240427499997
2.0,9,0,2020-12-31,1,396,24407.386794,0.0987,247288.62,2020,12,22886.886645,19656.347802,22266.0802595
2.0,9,0,2021-01-31,1,326,24810.784551,0.0987,251375.73,2021,1,24407.386794,20264.261829,23023.834046499996
2.0,9,0,2021-02-28,1,311,25287.748353,0.0987,256208.19,2021,2,24810.784551,21207.506145,23703.8744145
2.0,9,0,2021-03-31,1,311,25767.415548,0.0987,261068.04,2021,3,25287.748353,22147.956264,24307.1176285
2.0,9,0,2021-04-30,1,326,26556.448022999997,0.0987,269062.29,2021,4,25767.415548,22682.48388,24952.778319
2.0,9,0,2021-05-31,1,311,27405.716121,0.0987,277666.83,2021,5,26556.448022999997,22886.886645,25705.916565000003
2.0,9,0,2021-06-30,1,311,28115.100657,0.0987,284854.11,2021,6,27405.716121,24407.386794,26323.8688755
2.0,9,0,2021-07-31,1,311,29280.026159999998,0.0987,296656.8,2021,7,28115.100657,24810.784551,27068.742477000003
2.0,9,0,2021-08-31,1,315,29627.744286,0.0987,300179.78,2021,8,29280.026159999998,25287.748353,27792.075132500002
2.0,9,0,2021-09-30,1,329,30317.836919999998,0.0987,307171.6,2021,9,29627.744286,25767.415548,28550.478694499994
2.0,9,0,2021-10-31,1,330,31769.464208999994,0.0987,321879.06999999995,2021,10,30317.836919999998,26556.448022999997,29419.314725499997
2.0,9,0,2021-11-30,1,321,33075.10728899999,0.0987,335107.47,2021,11,31769.464208999994,27405.716121,30364.2132535
2.0,9,0,2021-12-31,1,316,34302.126936,0.0987,347539.28,2021,12,33075.10728899999,28115.100657,31395.384299999994
2.0,9,0,2022-01-31,1,328,34543.770198000006,0.0987,349987.54000000004,2022,1,34302.126936,29280.026159999998,32272.674972999997
2.0,9,0,2022-02-28,1,320,34557.923778,0.0987,350130.94,2022,2,34543.770198000006,29627.744286,33094.371555
2.0,9,0,2022-03-31,1,317,35580.848604,0.0987,360494.92,2022,3,34557.923778,30317.836919999998,33971.54016899999
2.0,9,0,2022-04-30,1,319,34581.245600999995,0.0987,350367.23,2022,4,35580.848604,31769.464208999994,34440.170401
2.0,9,0,2022-05-31,1,326,35034.88758,0.0987,354963.4,2022,5,34581.245600999995,33075.10728899999,34766.8004495
2.0,9,0,2022-06-30,1,311,50927.057222999996,0.0987,515978.29,2022,6,35034.88758,34302.126936,37537.622164
2.0,9,0,2022-07-31,1,327,51390.390555,0.0987,520672.65,2022,7,50927.057222999996,34543.770198000006,40345.3922235
2.0,9,0,2022-08-31,1,314,52163.95970099999,0.0987,528510.23,2022,8,51390.390555,34557.923778,43279.731544
2.0,9,0,2022-09-30,1,311,51613.115988,0.0987,522929.24,2022,9,52163.95970099999,35580.848604,45951.776108
2.0,9,0,2022-10-31,1,311,55580.23516499999,0.0987,563122.95,2022,10,51613.115988,34581.245600999995,49451.607702
2.0,9,0,2022-11-30,1,311,54843.670623,0.0987,555660.29,2022,11,55580.23516499999,35034.88758,52753.071542499994
2.0,9,0,2022-12-31,1,311,52745.71822799999,0.0987,534404.44,2022,12,54843.670623,50927.057222999996,53056.18171
2.0,9,0,2023-01-31,1,397,56665.852257,0.0987,574122.11,2023,1,52745.71822799999,51390.390555,53935.425327
2.0,9,0,2023-02-28,1,341,57943.512899999994,0.0987,587067.0,2023,2,56665.852257,52163.95970099999,54898.6841935
2.0,9,0,2023-03-31,1,341,59936.664648,0.0987,607261.04,2023,3,57943.512899999994,51613.115988,56285.94230349999
2.0,9,0,2023-04-30,1,334,61904.731791000006,0.0987,627200.93,2023,4,59936.664648,55580.23516499999,57340.0250745
2.0,9,0,2023-05-31,1,341,63468.55235699999,0.0987,643045.11,2023,5,61904.731791000006,54843.670623,58777.5053635
2.0,9,0,2023-06-30,1,311,63601.826967,0.0987,644395.41,2023,6,63468.55235699999,52745.71822799999,60586.85681999999
2.0,9,0,2023-07-31,1,318,63543.116259,0.0987,643800.5700000001,2023,7,63601.826967,56665.852257,61733.067487
2.0,9,0,2023-08-31,1,322,64866.24996599999,0.0987,657206.1799999999,2023,8,63543.116259,57943.512899999994,62886.856997999996
2.0,9,0,2023-09-30,1,326,66985.490964,0.0987,678677.72,2023,9,64866.24996599999,59936.664648,64061.661384
2.0,9,0,2023-10-31,1,341,67306.556142,0.0987,681930.66,2023,10,66985.490964,61904.731791000006,64961.9654425
2.0,9,0,2023-11-30,1,341,66499.843536,0.0987,673757.28,2023,11,67306.556142,63468.55235699999,65467.180639
2.0,9,0,2023-12-31,1,341,67007.74090499998,0.0987,678903.1499999999,2023,12,66499.843536,63601.826967,66034.832962
2.0,9,0,2024-01-31,1,311,71358.69056399999,0.0987,722985.72,2024,1,67007.74090499998,63543.116259,67337.4286795
2.0,9,0,2024-02-29,1,310,71846.59920899999,0.0987,727929.07,2024,2,71358.69056399999,64866.24996599999,68500.82022
2.0,9,0,2024-03-31,1,341,75027.13663200001,0.0987,760153.3600000001,2024,3,71846.59920899999,66985.490964,69841.09449799999
2.0,9,0,2024-04-30,1,311,74466.345933,0.0987,754471.5900000001,2024,4,75027.13663200001,67306.556142,71034.39279649999
2.0,9,0,2024-05-31,1,396,76957.21019700001,0.0987,779708.31,2024,5,74466.345933,66499.843536,72777.28723999999
2.0,9,0,2024-06-30,1,313,75950.529417,0.0987,769508.91,2024,6,76957.21019700001,67007.74090499998,74267.751992
2.0,9,0,2024-07-31,1,341,79325.309427,0.0987,803701.2100000001,2024,7,75950.529417,71358.69056399999,75595.5218025
2.0,9,0,2024-08-31,1,312,79807.366149,0.0987,808585.27,2024,8,79325.309427,71846.59920899999,76922.3162925
2.0,9,0,2024-09-30,1,341,81300.49678799999,0.0987,823713.24,2024,9,79807.366149,75027.13663200001,77967.87631850001
3.0,0,0,2020-01-31,1,420,15662.542368,0.0892,175589.04,2020,1,81300.49678799999,74466.345933,68167.24239099999
3.0,0,0,2020-02-29,1,419,16761.476556,0.0892,187908.93,2020,2,15662.542368,76957.21019700001,58134.620117499995
3.0,0,0,2020-03-31,1,422,17209.606652,0.0892,192932.81,2020,3,16761.476556,75950.529417,48344.46632333333
3.0,0,0,2020-04-30,1,421,17211.18906,0.0892,192950.55,2020,4,17209.606652,79325.309427,37992.112928833325
3.0,0,0,2020-05-31,1,421,17724.912376,0.0892,198709.78,2020,5,17211.18906,79807.366149,27645.037299999996
3.0,0,0,2020-06-30,1,103,17764.399432,0.0892,199152.46,2020,6,17724.912376,81300.49678799999,17055.687740666664
3.0,0,0,2020-07-31,1,252,18313.800964000002,0.0892,205311.67,2020,7,17764.399432,15662.542368,17497.564173333336
3.0,0,0,2020-08-31,1,266,19166.256820000002,0.0892,214868.35,2020,8,18313.800964000002,16761.476556,17898.360883999998
3.0,0,0,2020-09-30,1,392,20016.187424,0.0892,224396.72,2020,9,19166.256820000002,17209.606652,18366.124346
3.0,0,0,2020-10-31,1,393,20499.26608,0.0892,229812.4,2020,10,20016.187424,17211.18906,18914.13718266667
3.0,0,0,2020-11-30,1,44,20683.99482,0.0892,231883.35,2020,11,20499.26608,17724.912376,19407.317590000002
3.0,0,0,2020-12-31,1,45,22058.144904,0.0892,247288.62,2020,12,20683.99482,17764.399432,20122.941835333335
3.0,0,0,2021-01-31,1,143,22422.715116000003,0.0892,251375.73,2021,1,22058.144904,18313.800964000002,20807.760860666665
3.0,0,0,2021-02-28,1,69,22853.770548,0.0892,256208.19,2021,2,22422.715116000003,19166.256820000002,21422.346481999997
3.0,0,0,2021-03-31,1,379,23287.269168000003,0.0892,261068.04,2021,3,22853.770548,20016.187424,21967.526772666668
3.0,0,0,2021-04-30,1,271,24000.356268,0.0892,269062.29,2021,4,23287.269168000003,20499.26608,22551.041804000004
3.0,0,0,2021-05-31,1,415,24767.881236,0.0892,277666.83,2021,5,24000.356268,20683.99482,23231.689540000003
3.0,0,0,2021-06-30,1,414,25408.986612,0.0892,284854.11,2021,6,24767.881236,22058.144904,23790.163158
3.0,0,0,2021-07-31,1,70,26461.78656,0.0892,296656.8,2021,7,25408.986612,22422.715116000003,24463.341732
3.0,0,0,2021-08-31,1,71,26776.036376000004,0.0892,300179.78,2021,8,26461.78656,22853.770548,25117.052703333335
3.0,0,0,2021-09-30,1,416,27399.70672,0.0892,307171.6,2021,9,26776.036376000004,23287.269168000003,25802.458962
3.0,0,0,2021-10-31,1,416,28711.613043999994,0.0892,321879.06999999995,2021,10,27399.70672,24000.356268,26587.668424666666
3.0,0,0,2021-11-30,1,417,29891.586323999996,0.0892,335107.47,2021,11,28711.613043999994,24767.881236,27441.619272666667
3.0,0,0,2021-12-31,1,417,31000.503776,0.0892,347539.28,2021,12,29891.586323999996,25408.986612,28373.5388
3.0,0,0,2022-01-31,1,418,31218.888568000002,0.0892,349987.54000000004,2022,1,31000.503776,26461.78656,29166.389134666664
3.0,0,0,2022-02-28,1,418,31231.679848,0.0892,350130.94,2022,2,31218.888568000002,26776.036376000004,29908.996379999997
3.0,0,0,2022-03-31,1,16,32156.146864,0.0892,360494.92,2022,3,31231.679848,27399.70672,30701.736404
3.0,0,0,2022-04-30,1,272,31252.756916,0.0892,350367.23,2022,4,32156.146864,28711.613043999994,31125.260382666664
3.0,0,0,2022-05-31,1,361,31662.735280000004,0.0892,354963.4,2022,5,31252.756916,29891.586323999996,31420.451875333336
3.0,0,0,2022-06-30,1,360,46025.263468,0.0892,515978.29,2022,6,31662.735280000004,31000.503776,33924.57849066667
3.0,0,0,2022-07-31,1,337,46444.000380000005,0.0892,520672.65,2022,7,46025.263468,31218.888568000002,36462.097126
3.0,0,0,2022-08-31,1,336,47143.112516,0.0892,528510.23,2022,8,46444.000380000005,31231.679848,39114.00257066667
3.0,0,0,2022-09-30,1,197,46645.288208,0.0892,522929.24,2022,9,47143.112516,32156.146864,41528.85946133333
3.0,0,0,2022-10-31,1,252,50230.56714,0.0892,563122.95,2022,10,46645.288208,31252.756916,44691.827832
3.0,0,0,2022-11-30,1,236,49564.89786800001,0.0892,555660.29,2022,11,50230.56714,31662.735280000004,47675.521596666666
3.0,0,0,2022-12-31,1,386,47668.876048,0.0892,534404.44,2022,12,49564.89786800001,46025.263468,47949.45702666667
3.0,0,0,2023-01-31,1,380,51211.692212,0.0892,574122.11,2023,1,47668.876048,46444.000380000005,48744.072332
3.0,0,0,2023-02-28,1,271,52366.3764,0.0892,587067.0,2023,2,51211.692212,47143.112516,49614.61631266667
3.0,0,0,2023-03-31,1,267,54167.68476800001,0.0892,607261.04,2023,3,52366.3764,46645.288208,50868.349072666664
3.0,0,0,2023-04-30,1,229,55946.322956,0.0892,627200.93,2023,4,54167.68476800001,50230.56714,51820.975042000005
3.0,0,0,2023-05-31,1,230,57359.623812,0.0892,643045.11,2023,5,55946.322956,49564.89786800001,53120.09603266666
3.0,0,0,2023-06-30,1,194,57480.070572000004,0.0892,644395.41,2023,6,57359.623812,47668.876048,54755.29512
3.0,0,0,2023-07-31,1,66,57427.010844000004,0.0892,643800.5700000001,2023,7,57480.070572000004,51211.692212,55791.18155866667
3.0,0,0,2023-08-31,1,66,58622.791256,0.0892,657206.1799999999,2023,8,57427.010844000004,52366.3764,56833.917368
3.0,0,0,2023-09-30,1,66,60538.052623999996,0.0892,678677.72,2023,9,58622.791256,54167.68476800001,57895.645344
3.0,0,0,2023-10-31,1,79,60828.214872000004,0.0892,681930.66,2023,10,60538.052623999996,55946.322956,58709.29399666667
3.0,0,0,2023-11-30,1,79,60099.149376,0.0892,673757.28,2023,11,60828.214872000004,57359.623812,59165.88159066668
3.0,0,0,2023-12-31,1,79,60558.16097999999,0.0892,678903.1499999999,2023,12,60099.149376,57480.070572000004,59678.89665866667
3.0,0,0,2024-01-31,1,157,64490.326224,0.0892,722985.72,2024,1,60558.16097999999,57427.010844000004,60856.11588866666
3.0,0,0,2024-02-29,1,157,64931.273043999994,0.0892,727929.07,2024,2,64490.326224,58622.791256,61907.529520000004
3.0,0,0,2024-03-31,1,157,67805.67971200001,0.0892,760153.3600000001,2024,3,64931.273043999994,60538.052623999996,63118.800701333326
3.0,0,0,2024-04-30,1,309,67298.86582800001,0.0892,754471.5900000001,2024,4,67805.67971200001,60828.214872000004,64197.24252733334
3.0,0,0,2024-05-31,1,160,69549.98125200001,0.0892,779708.31,2024,5,67298.86582800001,60099.149376,65772.38117333333
3.0,0,0,2024-06-30,1,260,68640.194772,0.0892,769508.91,2024,6,69549.98125200001,60558.16097999999,67119.38680533333
3.0,0,0,2024-07-31,1,102,71690.147932,0.0892,803701.2100000001,2024,7,68640.194772,64490.326224,68319.35709
3.0,0,0,2024-08-31,1,87,72125.806084,0.0892,808585.27,2024,8,71690.147932,64931.273043999994,69518.44593
3.0,0,0,2024-09-30,1,207,73475.221008,0.0892,823713.24,2024,9,72125.806084,67805.67971200001,70463.36947933334
4.0,36,0,2020-01-31,1,175,2317.775328,0.0132,175589.04,2020,1,73475.221008,67298.86582800001,59633.187729333345
4.0,36,0,2020-02-29,1,222,2480.397876,0.0132,187908.93,2020,2,2317.775328,69549.98125200001,48454.923833333334
4.0,36,0,2020-03-31,1,102,2546.713092,0.0132,192932.81,2020,3,2480.397876,68640.194772,37439.34355333333
4.0,36,0,2020-04-30,1,221,2546.94726,0.0132,192950.55,2020,4,2546.713092,71690.147932,25915.476774666662
4.0,36,0,2020-05-31,1,303,2622.969096,0.0132,198709.78,2020,5,2546.94726,72125.806084,14331.67061
4.0,36,0,2020-06-30,1,160,2628.812472,0.0132,199152.46,2020,6,2622.969096,73475.221008,2523.935854
4.0,36,0,2020-07-31,1,218,2710.1140440000004,0.0132,205311.67,2020,7,2628.812472,2317.775328,2589.32564
4.0,36,0,2020-08-31,1,252,2836.26222,0.0132,214868.35,2020,8,2710.1140440000004,2480.397876,2648.636364
4.0,36,0,2020-09-30,1,85,2962.036704,0.0132,224396.72,2020,9,2836.26222,2546.713092,2717.856966
4.0,36,0,2020-10-31,1,190,3033.52368,0.0132,229812.4,2020,10,2962.036704,2546.94726,2798.9530360000003
4.0,36,0,2020-11-30,1,66,3060.86022,0.0132,231883.35,2020,11,3033.52368,2622.969096,2871.93489
4.0,36,0,2020-12-31,1,79,3264.209784,0.0132,247288.62,2020,12,3060.86022,2628.812472,2977.834442
4.0,36,0,2021-01-31,1,406,3318.1596360000003,0.0132,251375.73,2021,1,3264.209784,2710.1140440000004,3079.1753740000004
4.0,36,0,2021-02-28,1,411,3381.948108,0.0132,256208.19,2021,2,3318.1596360000003,2836.26222,3170.1230219999998
4.0,36,0,2021-03-31,1,170,3446.098128,0.0132,261068.04,2021,3,3381.948108,2962.036704,3250.799926
4.0,36,0,2021-04-30,1,178,3551.6222279999997,0.0132,269062.29,2021,4,3446.098128,3033.52368,3337.149684
4.0,36,0,2021-05-31,1,128,3665.2021560000003,0.0132,277666.83,2021,5,3551.6222279999997,3060.86022,3437.87334
4.0,36,0,2021-06-30,1,304,3760.074252,0.0132,284854.11,2021,6,3665.2021560000003,3264.209784,3520.517418
4.0,36,0,2021-07-31,1,183,3915.86976,0.0132,296656.8,2021,7,3760.074252,3318.1596360000003,3620.135772
4.0,36,0,2021-08-31,1,258,3962.3730960000003,0.0132,300179.78,2021,8,3915.86976,3381.948108,3716.87327
4.0,36,0,2021-09-30,1,88,4054.6651199999997,0.0132,307171.6,2021,9,3962.3730960000003,3446.098128,3818.301102
4.0,36,0,2021-10-31,1,187,4248.803723999999,0.0132,321879.06999999995,2021,10,4054.6651199999997,3551.6222279999997,3934.498018
4.0,36,0,2021-11-30,1,204,4423.4186039999995,0.0132,335107.47,2021,11,4248.803723999999,3665.2021560000003,4060.8674259999993
4.0,36,0,2021-12-31,1,217,4587.518496000001,0.0132,347539.28,2021,12,4423.4186039999995,3760.074252,4198.7748
4.0,36,0,2022-01-31,1,221,4619.8355280000005,0.0132,349987.54000000004,2022,1,4587.518496000001,3915.86976,4316.102427999999
4.0,36,0,2022-02-28,1,105,4621.728408,0.0132,350130.94,2022,2,4619.8355280000005,3962.3730960000003,4425.99498
4.0,36,0,2022-03-31,1,307,4758.532944,0.0132,360494.92,2022,3,4621.728408,4054.6651199999997,4543.306283999999
4.0,36,0,2022-04-30,1,146,4624.847436,0.0132,350367.23,2022,4,4758.532944,4248.803723999999,4605.980236
4.0,36,0,2022-05-31,1,210,4685.51688,0.0132,354963.4,2022,5,4624.847436,4423.4186039999995,4649.663282
4.0,36,0,2022-06-30,1,355,6810.913428,0.0132,515978.29,2022,6,4685.51688,4587.518496000001,5020.229104
4.0,36,0,2022-07-31,1,248,6872.87898,0.0132,520672.65,2022,7,6810.913428,4619.8355280000005,5395.736346000001
4.0,36,0,2022-08-31,1,85,6976.3350359999995,0.0132,528510.23,2022,8,6872.87898,4621.728408,5788.170783999999
4.0,36,0,2022-09-30,1,186,6902.665968,0.0132,522929.24,2022,9,6976.3350359999995,4758.532944,6145.526288
4.0,36,0,2022-10-31,1,218,7433.22294,0.0132,563122.95,2022,10,6902.665968,4624.847436,6613.588872
4.0,36,0,2022-11-30,1,223,7334.715828,0.0132,555660.29,2022,11,7433.22294,4685.51688,7055.1220299999995
4.0,36,0,2022-12-31,1,255,7054.138607999999,0.0132,534404.44,2022,12,7334.715828,6810.913428,7095.65956
4.0,36,0,2023-01-31,1,85,7578.411852,0.0132,574122.11,2023,1,7054.138607999999,6872.87898,7213.248372000001
4.0,36,0,2023-02-28,1,218,7749.2844,0.0132,587067.0,2023,2,7578.411852,6976.3350359999995,7342.073265999999
4.0,36,0,2023-03-31,1,259,8015.845728,0.0132,607261.04,2023,3,7749.2844,6902.665968,7527.603225999999
4.0,36,0,2023-04-30,1,107,8279.052276,0.0132,627200.93,2023,4,8015.845728,7433.22294,7668.574782
4.0,36,0,2023-05-31,1,308,8488.195452,0.0132,643045.11,2023,5,8279.052276,7334.715828,7860.821386
4.0,36,0,2023-06-30,1,149,8506.019412,0.0132,644395.41,2023,6,8488.195452,7054.138607999999,8102.80152
4.0,36,0,2023-07-31,1,213,8498.167524,0.0132,643800.5700000001,2023,7,8506.019412,7578.411852,8256.094132
4.0,36,0,2023-08-31,1,201,8675.121576,0.0132,657206.1799999999,2023,8,8498.167524,7749.2844,8410.400328000002
4.0,36,0,2023-09-30,1,254,8958.545903999999,0.0132,678677.72,2023,9,8675.121576,8015.845728,8567.517024
4.0,36,0,2023-10-31,1,86,9001.484712,0.0132,681930.66,2023,10,8958.545903999999,8279.052276,8687.92243
4.0,36,0,2023-11-30,1,219,8893.596096000001,0.0132,673757.28,2023,11,9001.484712,8488.195452,8755.489204
4.0,36,0,2023-12-31,1,188,8961.521579999999,0.0132,678903.1499999999,2023,12,8893.596096000001,8506.019412,8831.406232
4.0,36,0,2024-01-31,1,252,9543.411504,0.0132,722985.72,2024,1,8961.521579999999,8498.167524,9005.613562
4.0,36,0,2024-02-29,1,85,9608.663724,0.0132,727929.07,2024,2,9543.411504,8675.121576,9161.20392
4.0,36,0,2024-03-31,1,218,10034.024352000002,0.0132,760153.3600000001,2024,3,9608.663724,8958.545903999999,9340.450328
4.0,36,0,2024-04-30,1,173,9959.024988000001,0.0132,754471.5900000001,2024,4,10034.024352000002,9001.484712,9500.040374
4.0,36,0,2024-05-31,1,240,10292.149692,0.0132,779708.31,2024,5,9959.024988000001,8893.596096000001,9733.13264
4.0,36,0,2024-06-30,1,241,10157.517612,0.0132,769508.91,2024,6,10292.149692,8961.521579999999,9932.465312000002
4.0,36,0,2024-07-31,1,252,10608.855972000001,0.0132,803701.2100000001,2024,7,10157.517612,9543.411504,10110.03939
4.0,36,0,2024-08-31,1,85,10673.325564,0.0132,808585.27,2024,8,10608.855972000001,9608.663724,10287.483030000001
4.0,36,0,2024-09-30,1,218,10873.014768,0.0132,823713.24,2024,9,10673.325564,10034.024352000002,10427.314766
